"Business Category","Sub Category","Company Name","Address","Contact Number 1","Contact Number 2","Area","City","Pincode","Year Establish","Source Link"
"AC Repair & Services-LG						","AC Repair & Services						,","Perfect Cooling Solutions","Nehru Nagar, West Marredpally, Hyderabad - 500026, Beside Lines Club Hospital Lane","+(91)-40-33088980","","West Marredpally","Hyderabad","500026","2000","Monday -Sunday ","http://www.justdial.com/Hyderabad/Perfect-Cooling-Solutions-\&lt\;near\&gt\;-Beside-Lines-Club-Hospital-Lane-West-Marredpally/040PXX40-XX40-120214145143-P3Z6_BZDET?xid=SHlkZXJhYmFkIExHIEFDIFJlcGFpciBTZXJ2aWNlcw=="
"AC Installation Servi						","AC Repair & Services						,","Universal Cooling Solution","House Number 10-1-126, Main Road, West Marredpally, Hyderabad - 500026, Near Check Post","+(91)-40-33922666","","'dtpg');
											openDiv('hui')","","500026","2010","Monday -Sunday ","http://www.justdial.com/Hyderabad/Universal-Cooling-Solution-\&lt\;near\&gt\;-Near-Check-Post-West-Marredpally/040PXX40-XX40-150210113958-G8P8_BZDET?xid=SHlkZXJhYmFkIExHIEFDIFJlcGFpciBTZXJ2aWNlcw=="
"AC Repair & Services-LG						","AC Repair & Services						,","Unique Cooling Services","10-1-122, Marredpally, West Marredpally, Hyderabad - 500026","+(91)-40-33706872","","'dtpg');
											openDiv('hui')","","500026","2012","Monday -Sunday ","http://www.justdial.com/Hyderabad/Unique-Cooling-Services-\&lt\;near\&gt\;-West-Marredpally/040PXX40-XX40-160226181056-T6K1_BZDET?xid=SHlkZXJhYmFkIExHIEFDIFJlcGFpciBTZXJ2aWNlcw=="
"AC Repair & Servic						","AC Repair & Services-LG						,","Diamond Electronics","House No 4-26-74/1/10/1, Chintalmet,Suleman Nagar, Rajendra Nagar, Hyderabad - 500030","+(91)-40-33087112","","'dtpg');
											openDiv('hui')","","500030","","Monday -Sunday ","http://www.justdial.com/Hyderabad/Diamond-Electronics-\&lt\;near\&gt\;-Rajendra-Nagar/040PXX40-XX40-150929120225-T1J8_BZDET?xid=SHlkZXJhYmFkIExHIEFDIFJlcGFpciBTZXJ2aWNlcw=="
"AC Installation Servi						","AC Repair & Services						,","S T Technology Air Conditioners","House No 7-1-455/203/1 To 4, Ameerpet, Hyderabad - 500016, Behind Green Park Hotel","+(91)-40-39514286","","Ameerpet","Hyderabad","500016","2011","Monday -Sunday ","http://www.justdial.com/Hyderabad/S-T-Technology-Air-Conditioners-\&lt\;near\&gt\;-Behind-Green-Park-Hotel-Ameerpet/040PXX40-XX40-140102180007-H1N9_BZDET?xid=SHlkZXJhYmFkIExHIEFDIFJlcGFpciBTZXJ2aWNlcw=="
"AC Repair &						","Split AC Installation Services						,","Dew Point","KPHB Colony","+(91)-40-33087392","","KPHB Colony","Hyderabad","500085","","Monday -Sunday ","http://www.justdial.com/Hyderabad/Dew-Point-\&lt\;near\&gt\;-Near-Dhanalaxmi-Center--Phase-I---II-Ews-KPHB-Colony/040PXX40-XX40-111111170540-L3H5_BZDET?xid=SHlkZXJhYmFkIExHIEFDIFJlcGFpciBTZXJ2aWNlcw=="
"AC Repair & Servi						","AC Installation Services						,","Comfort Care Systems","House No 8-2-603/B/34/12, Road No 10, Banjara Hills, Hyderabad - 500034, Near Basavatharakam Cancer ...","+(91)-40-33015669","","Banjara Hills","Hyderabad","500034","1996","Monday -Sunday ","http://www.justdial.com/Hyderabad/Comfort-Care-Systems-\&lt\;near\&gt\;-Near-Basavatharakam--Cancer-Hospital-Banjara-Hills/040PXX40-XX40-140704123655-K6Z3_BZDET?xid=SHlkZXJhYmFkIExHIEFDIFJlcGFpciBTZXJ2aWNlcw=="
"AC Installation Servi						","AC Repair & Services						,","Polar Air Condition Services","Plot No 141, Hanumanpet, Malkajgiri, Hyderabad - 500047, Mirzalguda","+(91)-40-39516152","","Malkajgiri","Hyderabad","500047","2010","Monday -Sunday ","http://www.justdial.com/Hyderabad/Polar-Air-Condition-Services-\&lt\;near\&gt\;-Mirzalguda-Malkajgiri/040PXX40-XX40-140308223454-Q5D8_BZDET?xid=SHlkZXJhYmFkIExHIEFDIFJlcGFpciBTZXJ2aWNlcw=="
"AC Repair & Servi						","AC Installation Services						,","New Comfort Zone Air Conditioners","House No 11-3-362/B, Srinivas Nagar, Shahbazguda, Secunderabad, Hyderabad - 500003, Near Jamia Masjid","+(91)-40-33701130","","'dtpg');
											openDiv('hui')","","500003","2010","Monday -Sunday ","http://www.justdial.com/Hyderabad/New-Comfort-Zone-Air-Conditioners-\&lt\;near\&gt\;-Near-Jamia-Masjid-Secunderabad/040PXX40-XX40-150907122644-N5X4_BZDET?xid=SHlkZXJhYmFkIExHIEFDIFJlcGFpciBTZXJ2aWNlcw=="
"AC Installation Servi						","AC Repair & Services						,","Cloud Climate Technologies","Flat No 401, Jayabharathi Meadows, Suchitra Cross Road, Hyderabad - 500067, Opposite To Anutex Show ...","+(91)-40-33920892","","'dtpg');
											openDiv('hui')","","500067","2010","Monday -Sunday ","http://www.justdial.com/Hyderabad/Cloud-Climate-Technologies-\&lt\;near\&gt\;-Opposite-To-Anutex-Show-Room-Suchitra-Cross-Road/040PXX40-XX40-141017125115-J4J9_BZDET?xid=SHlkZXJhYmFkIExHIEFDIFJlcGFpciBTZXJ2aWNlcw=="
"Air Ticketing Agents 						","Air Ticketing Agents						,","Happy Air Travels","House No 3-6-198, Himayat Nagar, Hyderabad - 500029, Near KFC","+(91)-40-66848484","66336688","Himayat Nagar","Hyderabad","500029","2008","Monday -Sunday ","http://www.justdial.com/Hyderabad/Happy-Air-Travels-\&lt\;near\&gt\;-Near-KFC-Himayat-Nagar/040PXX40-XX40-090831182239-S6P3_BZDET?xid=SHlkZXJhYmFkIEFpciBUaWNrZXRpbmcgQWdlbnRzIERvbWVzdGlj"
"Air Ticketin						","Air Ticketing Agents Domestic						,","Sneha Tours And Travels","House No 3-6-290, Shop No 15, Malik Chambers, Hyderguda-Basheer Bagh, Hyderabad - 500029, Opposite S...","+(91)-40-30488989","66638989","Hyderguda-Basheer Bagh","Hyderabad","500029","2004","Monday -Sunday ","http://www.justdial.com/Hyderabad/Sneha-Tours-And-Travels-\&lt\;near\&gt\;-Opposite-Swathi-Coffee-Shop-Hyderguda-Basheer-Bagh/040PXX40-XX40-130207132020-E1R4_BZDET?xid=SHlkZXJhYmFkIEFpciBUaWNrZXRpbmcgQWdlbnRzIERvbWVzdGlj"
"Foreign Exchange 						","Railway Ticketing Agents						,","Enkay Tours And Travels","Flat No 1-11-247,3rd Floor,Surya Arcade, Begumpet, Hyderabad - 500016, Opposite Pantaloons","+(91)-40-27760137","27760146","Begumpet","Hyderabad","500016","40","Monday -Sunday ","http://www.justdial.com/Hyderabad/Enkay-Tours-And-Travels-\&lt\;near\&gt\;-Opposite-Pantaloons-Begumpet/040PXX40-XX40-091006122336-E1P6_BZDET?xid=SHlkZXJhYmFkIEFpciBUaWNrZXRpbmcgQWdlbnRzIERvbWVzdGlj"
"Travel Agents						","Air Ticketing Agents Domestic						,","Holiday Dreamz","Shop No 7A, View Tower B Block, Lakdikapul Road, Lakdi Ka Pool-Khairatabad, Hyderabad - 500004, Besi...","+(91)-40-66251251","","Lakdi Ka Pool-Khairatabad","Hyderabad","500004","2006","Monday -Sunday ","http://www.justdial.com/Hyderabad/Holiday-Dreamz-\&lt\;near\&gt\;-Beside-To-Seha-Hospital-Lakdi-Ka-Pool-Khairatabad/040PXX40-XX40-130810104347-Y2I5_BZDET?xid=SHlkZXJhYmFkIEFpciBUaWNrZXRpbmcgQWdlbnRzIERvbWVzdGlj"
"Air Ticketin						","Air Ticketing Agents Domestic						,","Tours5.com","17-85, Sri Nagar, Dilsukhnagar, Hyderabad - 500060, Opposite Sai Baba Temple","+(91)-40-64636261","64636262","Dilsukhnagar","Hyderabad","500060","2010","Monday -Sunday ","http://www.justdial.com/Hyderabad/Tours5-com-\&lt\;near\&gt\;-Opposite-Sai-Baba-Temple-Dilsukhnagar/040PXX40-XX40-130118145642-N7X7_BZDET?xid=SHlkZXJhYmFkIEFpciBUaWNrZXRpbmcgQWdlbnRzIERvbWVzdGlj"
"Air Ticketin						","Air Ticketing Agents Domestic						,","Columbus Vacations Pvt Ltd","Shop No 3-6-355/4/1, 1st Floor, Papa Reddy Plaza, Basheer Bagh, Hyderabad - 500029, Beside Shanbagh ...","+(91)-40-64601991","","Basheer Bagh","Hyderabad","500029","2014","Monday -Sunday ","http://www.justdial.com/Hyderabad/Columbus-Vacations-Pvt-Ltd-\&lt\;near\&gt\;-Beside-Shanbagh-Hotel-Basheer-Bagh/040PXX40-XX40-140627133209-G2I1_BZDET?xid=SHlkZXJhYmFkIEFpciBUaWNrZXRpbmcgQWdlbnRzIERvbWVzdGlj"
"Railway Tick						","Air Ticketing Agents Domestic						,","Guddu Air Travels","House No 21-6-663, Chelapura, Charminar, Hyderabad - 500002, Opposite Majid","+(91)-40-32485053","","Charminar","Hyderabad","500002","2005","Monday -Sunday ","http://www.justdial.com/Hyderabad/Guddu-Air-Travels-\&lt\;near\&gt\;-Opposite-Majid--Charminar/040PXX40-XX40-150314114501-W4L4_BZDET?xid=SHlkZXJhYmFkIEFpciBUaWNrZXRpbmcgQWdlbnRzIERvbWVzdGlj"
"Car Hire						","Travel Agents						,","Ya Rahman Tours & Travels","Door No 19-4-281/F/15/2-1, Tegalkunta Mch Colony X Road Ghandi Nagar, Jahanuma, Hyderabad - 500053, ...","+(91)-40-24471602","","'dtpg');
											openDiv('hui')","","500053","2012","Monday -Sunday ","http://www.justdial.com/Hyderabad/Ya-Rahman-Tours---Travels-\&lt\;near\&gt\;-Near-S-S-Medical-Hall-Jahanuma/040PXX40-XX40-140901215431-P2F4_BZDET?xid=SHlkZXJhYmFkIEFpciBUaWNrZXRpbmcgQWdlbnRzIERvbWVzdGlj"
"Car Hire						","Car On Hire For Outstation						,","3sn Travels","House No 5-6-11, Sangeet Nagar, Kukatpally, Hyderabad - 500072, Opp New Govt Jr College","+(91)-40-23162989","","Kukatpally","Hyderabad","500072","2011","Monday -Sunday ","http://www.justdial.com/Hyderabad/3sn-Travels-\&lt\;near\&gt\;-Opp-New-Govt-Jr-College-Kukatpally/040PXX40-XX40-120725171204-C9E6_BZDET?xid=SHlkZXJhYmFkIEFpciBUaWNrZXRpbmcgQWdlbnRzIERvbWVzdGlj"
"Travel Agents						","Air Ticketing Agents Domestic						,","Sun Tours & Travels","Plot No 146 Phase 3, Sri Nagar Colony, Hyderabad - 500073, Beside Andhra Bank,Opposite Line To Green...","+(91)-40-27126508","27137636","Sri Nagar Colony","Hyderabad","500073","1996","Monday -Sunday ","http://www.justdial.com/Hyderabad/Sun-Tours---Travels-\&lt\;near\&gt\;-Beside-Andhra-Bank-Opposite-Line-To-Green-Bawarchi-Sri-Nagar-Colony/040PXX40-XX40-140510163113-I3U6_BZDET?xid=SHlkZXJhYmFkIEFpciBUaWNrZXRpbmcgQWdlbnRzIERvbWVzdGlj"
"Air Tic						","Air Ticketing Agents International						,","Karthikeya Travel And Forex Pvt Ltd","Shop No 49 & 50, Nilgiri Block,Aditya Enclave, Ameerpet, Hyderabad - 500016, Adjcent To Ever Cars Sh...","+(91)-40-66441128","66441129","Ameerpet","Hyderabad","500016","2004","Monday -Sunday ","http://www.justdial.com/Hyderabad/Karthikeya-Travel-And-Forex-Pvt-Ltd-\&lt\;near\&gt\;-Adjcent-To-Ever-Cars-Showroom-Ameerpet/040PDG01739_BZDET?xid=SHlkZXJhYmFkIEFpciBUaWNrZXRpbmcgQWdlbnRzIEludGVybmF0aW9uYWw="
"Travel Agents						","Air Ticketing Agents Domestic						,","Holiday Dreamz","Shop No 7A, View Tower B Block, Lakdikapul Road, Lakdi Ka Pool-Khairatabad, Hyderabad - 500004, Besi...","+(91)-40-66251251","","Lakdi Ka Pool-Khairatabad","Hyderabad","500004","2006","Monday -Sunday ","http://www.justdial.com/Hyderabad/Holiday-Dreamz-\&lt\;near\&gt\;-Beside-To-Seha-Hospital-Lakdi-Ka-Pool-Khairatabad/040PXX40-XX40-130810104347-Y2I5_BZDET?xid=SHlkZXJhYmFkIEFpciBUaWNrZXRpbmcgQWdlbnRzIEludGVybmF0aW9uYWw="
"24 Hour						","Air Ticketing Agents International						,","Bheri Travels","House No 12-13-89, Flat No-204, Tarnaka, Hyderabad - 500007, Opposite To Aradhana Threatre","+(91)-40-27009955","","Tarnaka","Hyderabad","500007","2009","Monday -Sunday ","http://www.justdial.com/Hyderabad/Bheri-Travels-\&lt\;near\&gt\;-Opposite-To-Aradhana-Threatre-Tarnaka/040PXX40-XX40-110620165015-M6S3_BZDET?xid=SHlkZXJhYmFkIEFpciBUaWNrZXRpbmcgQWdlbnRzIEludGVybmF0aW9uYWw="
"","Air Ticketing Agents International						","Uniglobe Sri Sai Travel","Door No B-101,Pancom Business Centre, Ameerpet X Roads, Ameerpet, Hyderabad - 500016, Opposite Chenn...","+(91)-40-66622771","","Ameerpet","Hyderabad","500016","1989","Monday -Sunday ","http://www.justdial.com/Hyderabad/Uniglobe-Sri-Sai-Travel-\&lt\;near\&gt\;-Opposite-Chennai-Shopping-Mall-Ameerpet/040PXX40-XX40-150309132834-V3E3_BZDET?xid=SHlkZXJhYmFkIEFpciBUaWNrZXRpbmcgQWdlbnRzIEludGVybmF0aW9uYWw="
